program,-1,-1,1
num_primo?,-55,0,1
;,-75,-1,1
var,-15,-1,2
int,-11,-1,3
:,-77,-1,3
x&,-51,0,3
,,-76,-1,3
i&,-51,1,3
;,-75,-1,3
string,-13,-1,4
:,-77,-1,4
res#,-53,2,4
;,-75,-1,4
bool,-14,-1,5
:,-77,-1,5
esPrimo$,-54,3,5
;,-75,-1,5
begin,-2,-1,7
read,-4,-1,8
(,-73,-1,8
x&,-51,0,8
),-74,-1,8
;,-75,-1,8
while,-8,-1,9
(,-73,-1,9
x&,-51,0,9
<=,-32,-1,9
1,-61,-1,9
),-74,-1,9
do,-17,-1,9
begin,-2,-1,10
res#,-53,2,11
:=,-26,-1,11
"No es un numero primo",-63,-1,11
;,-75,-1,11
end,-3,-1,12
write,-5,-1,13
(,-73,-1,13
x&,-51,0,13
),-74,-1,13
;,-75,-1,13
write,-5,-1,14
(,-73,-1,14
res#,-53,2,14
),-74,-1,14
;,-75,-1,14
end,-3,-1,15
