program,-1,-1,1
num_primo?,-55,0,1
;,-75,-1,1
var,-15,-1,2
int,-11,-1,3
:,-77,-1,3
x&,-51,0,3
,,-76,-1,3
i&,-51,1,3
;,-75,-1,3
string,-13,-1,4
:,-77,-1,4
res#,-53,2,4
;,-75,-1,4
bool,-14,-1,5
:,-77,-1,5
esPrimo$,-54,3,5
;,-75,-1,5
begin,-2,-1,7
read,-4,-1,8
(,-73,-1,8
x&,-51,0,8
),-74,-1,8
;,-75,-1,8
if,-6,-1,9
(,-73,-1,9
x&,-51,0,9
<=,-32,-1,9
1,-61,-1,9
),-74,-1,9
then,-16,-1,9
begin,-2,-1,10
res#,-53,2,11
:=,-26,-1,11
"No es un numero primo",-63,-1,11
;,-75,-1,11
end,-3,-1,12
else,-7,-1,13
begin,-2,-1,14
esPrimo$,-54,3,15
:=,-26,-1,15
true,-64,-1,15
;,-75,-1,15
if,-6,-1,16
(,-73,-1,16
esPrimo$,-54,3,16
),-74,-1,16
then,-16,-1,16
begin,-2,-1,17
res#,-53,2,18
:=,-26,-1,18
"Es un numero primo",-63,-1,18
;,-75,-1,18
end,-3,-1,19
else,-7,-1,20
begin,-2,-1,21
res#,-53,2,22
:=,-26,-1,22
"No es un numero primo",-63,-1,22
;,-75,-1,22
end,-3,-1,23
end,-3,-1,24
write,-5,-1,25
(,-73,-1,25
x&,-51,0,25
),-74,-1,25
;,-75,-1,25
write,-5,-1,26
(,-73,-1,26
res#,-53,2,26
),-74,-1,26
;,-75,-1,26
end,-3,-1,27
